1	0.2643	0.2793	0.296	0.3103	0.3143	0.319	0.3156	0.3163
2	0.3694	0.3811	0.4125	0.4473	0.4696	0.4717	0.4703	0.4722
3	0.4476	0.4574	0.4995	0.5442	0.5821	0.5815	0.5841	0.5864
4	0.5008	0.5129	0.5555	0.6101	0.6488	0.6524	0.6554	0.6555
5	0.5292	0.5526	0.5913	0.6511	0.6913	0.6941	0.694	0.6944
6	0.5569	0.5748	0.6207	0.6727	0.717	0.7198	0.7247	0.724
7	0.5733	0.5916	0.6391	0.6934	0.7355	0.744	0.7431	0.7425
8	0.587	0.6033	0.6498	0.7052	0.7443	0.7552	0.7554	0.7543
9	0.5981	0.6143	0.662	0.7128	0.7581	0.7661	0.7658	0.7676
10	0.6058	0.6206	0.6679	0.7242	0.7643	0.7722	0.7721	0.7698
