0	0.2688	0.2686	0.2707	0.2646	0.2689	0.2685	0.2669
1	0.2939	0.2814	0.2367	0.1982	0.1884	0.1852	0.1879
2	0.3062	0.2915	0.2295	0.179	0.1654	0.1623	0.1639
3	0.315	0.2953	0.2249	0.1715	0.1534	0.1524	0.1527
4	0.3174	0.3005	0.2223	0.1677	0.1508	0.1461	0.1486
5	0.3248	0.3027	0.2191	0.165	0.146	0.1436	0.1409
6	0.3257	0.3032	0.2239	0.1622	0.1444	0.1404	0.1403
7	0.3275	0.308	0.2218	0.1653	0.1421	0.1385	0.1391
8	0.3272	0.3071	0.2209	0.1636	0.1418	0.1397	0.1398
9	0.3283	0.3082	0.2246	0.1629	0.1419	0.1384	0.1372
10	0.3292	0.3113	0.2238	0.1615	0.1399	0.14	0.1362
