0	0.3926	0.3927	0.3933	0.3929	0.3908	0.3875	0.39
1	0.4078	0.4121	0.4274	0.4477	0.4725	0.4794	0.4883
2	0.4164	0.4242	0.4452	0.5008	0.5467	0.548	0.5468
3	0.4217	0.4306	0.4622	0.5365	0.58	0.5762	0.5808
4	0.4302	0.4391	0.4741	0.5815	0.6078	0.6119	0.6136
5	0.4327	0.4442	0.4771	0.5967	0.63	0.6356	0.6342
6	0.4347	0.4479	0.4883	0.6149	0.6417	0.6477	0.6503
7	0.4364	0.4503	0.4922	0.6249	0.6547	0.6593	0.6622
8	0.4378	0.4481	0.4913	0.6319	0.6624	0.6664	0.6668
9	0.4383	0.4525	0.4942	0.6382	0.6689	0.67	0.6745
10	0.4396	0.4532	0.4982	0.642	0.6728	0.6789	0.6786
